REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,Hoosier Energy Lawrence Co Station,38.8003,-86.4511,MITCHELL,Lawrence,IN,47446,HOOSIER ENERGY REC INC (100%),31771,D,1000119,1000 S OLD PALESTINE ROAD
2020,Hoot Lake,46.29,-96.0428,FERGUS FALLS,Otter Tail,MN,56537,OTTER TAIL CORP (100%),238057,"C,D",1000694,1012 WATER PLANT ROAD
2020,Hopewell Cogeneration Facility,37.2914,-77.2821,HOPEWELL,Hopewell,VA,23860,Vistra Corp (100%),970898,"C,D",1000318,1114 HERCULES ROAD
2020,Horseshoe Lake,35.5089,-97.1789,HARRAH,Oklahoma,OK,73045,OGE ENERGY CORP (100%),647269,"C,D",1000859,19801 NE 36TH ST
2020,Hot Spring Energy Facility,34.2963,-92.8683,MALVERN,Hot Spring,AR,72104,ENTERGY CORP (100%),466850,"C,D",1000815,696 BLACK BRANCH RD
2020,Houma,29.5808,-90.7222,HOUMA,Terrebonne,LA,70360,TERREBONNE PARISH CONSOLIDATED GOVERNMENT (100%),19343,"C,D",1000529,1551 BARROW ST
2020,Howard M Down,39.4889,-75.0347,VINELAND,Cumberland,NJ,8360,CITY OF VINELAND (100%),35077,"C,D",1000751,211 N WEST AVE
2020,Hugo,34.0158,-95.3206,FORT TOWSON,Choctaw,OK,74735,WESTERN FARMERS ELECTRIC COOPERATIVE (100%),248184,D,1001064,970 N 4335 Rd.
2020,Hummel Station LLC,40.8361,-76.825,Selinsgrove,SNYDER COUNTY,PA,17876,PANDA HUMMEL STATION LLC (100%),2343022,"C,D,DD",1013286,2386 N. Old Trail Road
2020,Hunlock Creek Energy Center,41.2033,-76.0683,HUNLOCK CREEK,Luzerne,PA,18621,UGI CORP (100%),111931,"C,D",1000901,390 ROUTE 11
